product_id,name,category,subcategory,unit_price,unit_cost,supplier
68,Video Editor,Software,Development,484.5,110.73,Supplier-Delta
69,PDF Editor Pro,Software,Security,-430.25,82.52,Supplier-Delta
70,Code Editor License,Software,Development,172.01,35.11,Supplier-Echo
71,Database Manager,Software,Design,78.09,15.8,Supplier-Echo
72,Cloud Storage 1TB,Software,Design,-334.25,74.14,Supplier-Foxtrot
73,Backup Solution,Software,Design,80.81,9.11,Supplier-Foxtrot
74,Email Security,Software,Design,182.81,28.4,Supplier-Beta
75,Collaboration Platform,Software,Productivity,100.47,25.43,Supplier-Echo
76,IT Consultation Hour,Services,Support,2080.08,790.21,Supplier-Foxtrot
77,Network Setup,Services,Training,224.73,95.36,Supplier-Gamma
78,Security Audit,Services,Consulting,4543.87,1822.77,Supplier-Echo
79,Data Migration Service,Services,Support,-3569.54,1581.34,Supplier-Gamma
80,Cloud Setup,Services,Installation,3660.09,1301.49,Supplier-Foxtrot
81,Training Session Basic,Services,Support,1856.64,696.33,Supplier-Foxtrot
82,Training Session Advanced,Services,Consulting,4394.82,1517.46,Supplier-Delta
83,On-site Support Day,Services,Support,726.93,265.08,Supplier-Foxtrot
84,Remote Support Hour,Services,Support,-4508.0,2089.95,Supplier-Gamma
85,System Integration,Services,Installation,1194.31,618.48,Supplier-Gamma
86,Hardware Installation,Services,Installation,1921.24,857.63,Supplier-Alpha
87,Software Deployment,Services,Consulting,2405.63,1242.74,Supplier-Delta
88,Compliance Review,Services,Installation,4458.19,1895.26,Supplier-Echo
89,Performance Optimization,Services,Support,1561.94,489.69,Supplier-Beta
90,Disaster Recovery Plan,Services,Installation,4962.5,1913.87,Supplier-Beta
91,Rack Server Entry,Hardware,Servers,1616.1,1016.39,Supplier-Delta
92,Rack Server Pro,Hardware,Components,1696.52,1181.9,Supplier-Foxtrot
93,Tower Server,Hardware,Servers,337.17,189.83,Supplier-Beta
94,UPS Battery Backup,Hardware,Servers,2902.58,1421.13,Supplier-Beta
95,Server RAM 32GB,Hardware,Components,3091.67,1880.89,Supplier-Delta
96,Server SSD 2TB,Hardware,Servers,4828.37,2635.46,Supplier-Echo
97,Network Cable 50ft,Hardware,Servers,1037.1,563.43,Supplier-Gamma
98,Patch Panel,Hardware,Servers,3796.4,2212.38,Supplier-Foxtrot
99,Server Cabinet,Hardware,Servers,70.41,44.6,Supplier-Foxtrot
100,KVM Switch,Hardware,Servers,4391.08,2318.59,Supplier-Delta
